StudySite,Operation
A06,0
A08,31
A10,0
B05,48
B07,90
B09,9
C06,6
C08,90
D03,0
D05,20
D07,90
D09,0
E02,51
E04,90
E06,28
E08,43
E10,90
E12,90
F01,0
F03,0
F05,6
F07,65
F09,0
F11,15
G02,0
G04,90
G06,90
G08,86
G10,90
G12,66
H03,90
H05,90
H07,0
H09,90
H11,90
H13,33
I04,90
I06,0
I08,8
I10,4
I12,0
I14,9
J03,0
J05,39
J07,16
J09,30
J11,0
J13,14
K04,42
K06,90
K08,0
K10,90
K12,8
L05,4
L07,90
L09,0
L11,90
L13,90
M08,48
M10,62
